Poste,Date,Timestamp,Categorie,Plaque
E10,2025-06-03,07:14:42,VL,AL-016-NP
E10,2025-06-03,07:14:52,VL,EK-828-AG
E10,2025-06-03,07:14:54,VL,FL-411-YH
E10,2025-06-03,07:14:55,VL,GE-374-YP
E10,2025-06-03,07:15:02,VL,BL-488-ZV
E10,2025-06-03,07:15:04,VL,GX-513-XY
E10,2025-06-03,07:15:08,VL,AF-019-CD
E10,2025-06-03,07:15:10,PL,BR-940-JE
E10,2025-06-03,07:15:38,VL,EL-888-CX
E10,2025-06-03,07:15:41,VL,GT-185-CZ
E10,2025-06-03,07:15:44,VL,FV-170-HB
E10,2025-06-03,07:15:48,VL,EM-520-BL
E10,2025-06-03,07:15:54,PL,GP-765-WW
E10,2025-06-03,07:15:57,VL,DQ-428-VC
E10,2025-06-03,07:16:02,VL,BR-717-AA
E10,2025-06-03,07:16:29,VL,DZ-402-TV
E10,2025-06-03,07:16:46,PL,EZ-045-CG
E10,2025-06-03,07:16:50,VL,GS-462-HX
E10,2025-06-03,07:16:52,PL,EW-646-ME
E10,2025-06-03,07:16:56,PL,EX-125-HV
E10,2025-06-03,07:17:34,VL,CR-588-EX
E10,2025-06-03,07:17:39,VL,CL-838-QZ
E10,2025-06-03,07:17:40,PL,GF-909-SY
E10,2025-06-03,07:17:43,VL,GH-741-JK
E10,2025-06-03,07:17:47,VL,FA-056-WV
E10,2025-06-03,07:17:51,VL,GG-679-PY
E10,2025-06-03,07:18:39,VL,CC-072-NP
E10,2025-06-03,07:18:43,VL,HB-094-DN
E10,2025-06-03,07:19:04,VL,CW-166-HX
E10,2025-06-03,07:19:18,PL,GX-181-QP
E10,2025-06-03,07:19:35,VL,FC-754-TV
E10,2025-06-03,07:19:39,VL,CB-212-DT
E10,2025-06-03,07:19:43,VL,FK-402-AC
E10,2025-06-03,07:19:54,VL,EJ-685-ME
E10,2025-06-03,07:19:59,VL,FQ-158-LZ
E10,2025-06-03,07:20:01,VL,760 BZN 60
E10,2025-06-03,07:20:03,VL,EN-891-VR
E10,2025-06-03,07:20:04,VL,ET-476-CD
E10,2025-06-03,07:20:05,MOTO,FV7OS**
E10,2025-06-03,07:20:09,PL,DF-036-FV
E10,2025-06-03,07:20:11,VL,ED-078-GB
E10,2025-06-03,07:20:14,VL,FW-727-QX
E10,2025-06-03,07:20:17,VL,GT-336-HV
E10,2025-06-03,07:20:20,VL,GC-381-PR
E10,2025-06-03,07:20:44,PL,GY-422-LT
E10,2025-06-03,07:20:48,VL,GT-010-QK
E10,2025-06-03,07:21:12,PL,GG-111-PS
E10,2025-06-03,07:21:15,VL,EV-794-CV
E10,2025-06-03,07:21:18,VL,EF-902-YW
E10,2025-06-03,07:21:45,VL,FH-592-DB
E10,2025-06-03,07:21:49,VL,GB-597-SP
E10,2025-06-03,07:21:51,VL,BT-689-CN
E10,2025-06-03,07:21:54,VL,GZ-590-MJ
E10,2025-06-03,07:21:58,VL,FW-246-YR
E10,2025-06-03,07:22:01,VL,AV-950-XG
E10,2025-06-03,07:22:03,VL,EY-258-ZV
E10,2025-06-03,07:22:08,BUS,GD-243-XS
E10,2025-06-03,07:22:10,VL,CA-845-AN
E10,2025-06-03,07:22:11,VL,EB-672-SF
E10,2025-06-03,07:22:18,PL,CL-367-GS
E10,2025-06-03,07:22:22,VL,BQ-410-AZ
E10,2025-06-03,07:22:34,VL,FD-179-VB
E10,2025-06-03,07:22:36,VL,AV-268-ZJ
E10,2025-06-03,07:22:38,VL,AY27R**
E10,2025-06-03,07:22:58,VL,CD-650-FJ
E10,2025-06-03,07:23:02,VL,AH-534-QS
E10,2025-06-03,07:23:11,VL,GQ-384-PM
E10,2025-06-03,07:23:13,VL,DP-261-XN
E10,2025-06-03,07:23:17,VL,DV-649-PE
E10,2025-06-03,07:23:19,VL,CJ72630N
E10,2025-06-03,07:23:21,VL,948NP**
E10,2025-06-03,07:23:23,PL,BY-945-JX
E10,2025-06-03,07:23:29,VL,GV-615-WN
E10,2025-06-03,07:23:30,VL,FW-897-MD
E10,2025-06-03,07:23:33,VL,EV-443-FM
E10,2025-06-03,07:23:35,VL,CS-055-QM
E10,2025-06-03,07:23:36,VL,GT-896-WR
E10,2025-06-03,07:24:00,VL,AK-650-GX
E10,2025-06-03,07:24:06,VL,FX-923-TB
E10,2025-06-03,07:24:15,VL,EL-389-QZ
E10,2025-06-03,07:24:24,VL,CM-430-MW
E10,2025-06-03,07:24:27,PL,FM-586-RC
E10,2025-06-03,07:24:28,VL,EP-475-JH
E10,2025-06-03,07:24:31,VL,FT-918-LS
E10,2025-06-03,07:25:01,PL,GB-298-VD
E10,2025-06-03,07:25:14,PL,GT-616-AX
E10,2025-06-03,07:25:16,VL,BB-926-VE
E10,2025-06-03,07:25:18,VL,FM-946-XS
E10,2025-06-03,07:25:21,VL,BH-351-EC
E10,2025-06-03,07:25:23,VL,CD-922-CG
E10,2025-06-03,07:25:25,VL,DQ-120-BN
E10,2025-06-03,07:25:28,VL,GQ-511-SR
E10,2025-06-03,07:25:34,INCONNU,GC-098-PH
E10,2025-06-03,07:25:38,BUS,GV-294-GE
E10,2025-06-03,07:25:56,INCONNU,0473 D 68
E10,2025-06-03,07:26:38,PL,FX-269-XV
E10,2025-06-03,07:26:43,PL,GK-409-LT
E10,2025-06-03,07:26:44,VL,DZ-294-ZQ
E10,2025-06-03,07:26:47,VL,EF-979-NL
E10,2025-06-03,07:26:49,VL,HB-210-JP
E10,2025-06-03,07:26:51,VL,FS-448-RR
E10,2025-06-03,07:26:54,VL,CW-351-AN
E10,2025-06-03,07:26:56,VL,GE-159-FY
E10,2025-06-03,07:26:57,PL,BN-785-XW
E10,2025-06-03,07:27:43,VL,C7F2C**
E10,2025-06-03,07:27:44,VL,CZ-532-JM
E10,2025-06-03,07:28:18,VL,ET-468-QN
E10,2025-06-03,07:28:21,PL,AA-960-TA
E10,2025-06-03,07:28:25,VL,DK-929-RP
E10,2025-06-03,07:28:29,VL,GN-167-HG
E10,2025-06-03,07:28:39,VL,GH-367-YB
E10,2025-06-03,07:28:42,PL,DZ-345-EV
E10,2025-06-03,07:29:24,INCONNU,DV-176-TH
E10,2025-06-03,07:29:34,INCONNU,EK-433-SB
E10,2025-06-03,07:29:36,PL,HC-626-GS
E10,2025-06-03,07:29:41,VL,DV-506-LP
E10,2025-06-03,07:29:46,VL,BX-187-SV
E10,2025-06-03,07:30:10,BUS,DB-578-PK
