date_heure_passage,numero_plaque,format
2026-02-11 17:06:01,GV-326-JH,SIV
2026-02-11 17:07:36,FG-264-QK,SIV
2026-02-11 17:08:11,GZ-431-TV,SIV
2026-02-11 17:09:03,DN-474-JB,SIV
2026-02-11 17:09:19,BE-661-JM,SIV
2026-02-11 17:09:30,GJ-494-ZP,SIV
2026-02-11 17:09:33,BP-185-ZP,SIV
2026-02-11 17:10:14,AH-946-YW,SIV
2026-02-11 17:11:12,DT-904-TJ,SIV
2026-02-11 17:11:12,LG-122-QZ,SIV
2026-02-11 17:11:27,GQ-784-KD,SIV
2026-02-11 17:11:33,GS-397-DK,SIV
2026-02-11 17:11:55,NG-651-JN,SIV
2026-02-11 17:12:01,GJ-147-GL,SIV
2026-02-11 17:12:23,GG-205-VV,SIV
2026-02-11 17:12:59,GM-286-PZ,SIV
2026-02-11 17:13:51,GM-331-NT,SIV
2026-02-11 17:13:57,CE-232-WS,SIV
2026-02-11 17:14:33,ED-902-WA,SIV
2026-02-11 17:14:55,GB-065-TW,SIV
2026-02-11 17:15:21,HB-216-HR,SIV
2026-02-11 17:15:40,FL-349-GV,SIV
2026-02-11 17:17:10,BQ-440-QF,SIV
2026-02-11 17:17:17,GZ-657-VW,SIV
2026-02-11 17:17:18,VH619**,UNKNOWN
2026-02-11 17:17:26,6B5022BR,UNKNOWN
2026-02-11 17:17:48,FA-420-CD,SIV
2026-02-11 17:18:01,HG-113-MP,SIV
2026-02-11 17:18:04,ER-407-PG,SIV
2026-02-11 17:18:04,HRPRC**,UNKNOWN
2026-02-11 17:18:04,ER-707-PG,SIV
2026-02-11 17:18:04,MARKDOWN,UNKNOWN
2026-02-11 17:18:17,HD-314-XA,SIV
2026-02-11 17:18:34,DH-914-KK,SIV
2026-02-11 17:19:09,5880 WR 14,FNI
2026-02-11 17:19:40,FC-391-NR,SIV
2026-02-11 17:19:40,M1MP1**,UNKNOWN
2026-02-11 17:19:40,EC-991-NR,SIV
2026-02-11 17:19:42,SEC2017AN,UNKNOWN
2026-02-11 17:19:49,J277YF*,UNKNOWN
2026-02-11 17:19:53,GA-531-JG,SIV
2026-02-11 17:19:55,GN-754-BS,SIV
2026-02-11 17:19:59,GK-965-VQ,SIV
2026-02-11 17:20:05,GS-295-TR,SIV
2026-02-11 17:20:13,AL-301-KL,SIV
2026-02-11 17:20:13,SV-584-KL,SIV
2026-02-11 17:20:15,FY-791-GQ,SIV
2026-02-11 17:20:15,TV9616*,UNKNOWN
2026-02-11 17:20:15,YN441M*,UNKNOWN
2026-02-11 17:20:15,NUMBER*,UNKNOWN
2026-02-11 17:20:18,AA-353-KD,SIV
2026-02-11 17:20:34,GW-500-JN,SIV
2026-02-11 17:20:48,DK-237-TC,SIV
2026-02-11 17:21:51,GS-782-CM,SIV
2026-02-11 17:21:53,100014UM,UNKNOWN
2026-02-11 17:22:56,HF-376-WM,SIV
2026-02-11 17:22:58,512202517,UNKNOWN
2026-02-11 17:23:03,EN-539-PC,SIV
2026-02-11 17:25:35,EK-901-AT,SIV
2026-02-11 17:25:51,FK-688-KV,SIV
2026-02-11 17:26:11,EE-079-PB,SIV
2026-02-11 17:26:13,LL-613-TD,SIV
2026-02-11 17:26:23,BH-767-NR,SIV
2026-02-11 17:27:21,FQ-300-FQ,SIV
2026-02-11 17:27:22,2202517272,UNKNOWN
2026-02-11 17:28:09,DG-703-YQ,SIV
2026-02-11 17:28:28,FR-691-HG,SIV
2026-02-11 17:28:30,HRC07NG,UNKNOWN
2026-02-11 17:28:33,FB-211-DG,SIV
2026-02-11 17:29:04,DD-270-DT,SIV
2026-02-11 17:29:51,AA-078-JL,SIV
2026-02-11 17:30:10,EN-871-VR,SIV
2026-02-11 17:30:19,DZ-970-MW,SIV
2026-02-11 17:30:31,DR-968-MD,SIV
2026-02-11 17:30:33,ORF388NU,UNKNOWN
2026-02-11 17:30:37,EV-318-RD,SIV
2026-02-11 17:31:08,CX-366-DH,SIV
2026-02-11 17:31:44,BBE522CYKK,UNKNOWN
2026-02-11 17:31:44,472111*,UNKNOWN
2026-02-11 17:31:44,TS-020-LT,SIV
2026-02-11 17:31:44,DE-920-FE,SIV
2026-02-11 17:31:58,GY-501-WW,SIV
2026-02-11 17:32:09,GQ-036-SC,SIV
2026-02-11 17:34:44,FK-404-BX,SIV
2026-02-11 17:35:02,GT-003-YK,SIV
2026-02-11 17:35:46,EN-971-VD,SIV
2026-02-11 17:35:47,6122025173,UNKNOWN
