date_heure_passage,numero_plaque,format
2026-02-11 06:33:29,DS-223-YQ,SIV
2026-02-11 06:33:34,BT-904-CF,SIV
2026-02-11 06:33:35,NL*****,UNKNOWN
2026-02-11 06:33:41,019 ATZ 69,FNI
2026-02-11 06:33:41,NL*****,UNKNOWN
2026-02-11 06:33:42,BX-603-MR,SIV
2026-02-11 06:33:45,EJ-567-GF,SIV
2026-02-11 06:33:48,BD-117-SK,SIV
2026-02-11 06:33:49,NL*****,UNKNOWN
2026-02-11 06:33:49,NL*****,UNKNOWN
2026-02-11 06:34:02,EA-335-MN,SIV
2026-02-11 06:34:03,FA-335-ML,SIV
2026-02-11 06:34:07,CM-665-SC,SIV
2026-02-11 06:34:18,DM-648-QD,SIV
2026-02-11 06:34:27,DX-286-FM,SIV
2026-02-11 06:34:33,EB-981-KG,SIV
2026-02-11 06:34:36,FH-543-QE,SIV
2026-02-11 06:34:37,THREEVOUC,UNKNOWN
2026-02-11 06:34:52,FN-539-EK,SIV
2026-02-11 06:34:54,NL*****,UNKNOWN
2026-02-11 06:34:55,CS-920-MH,SIV
2026-02-11 06:35:10,NL*****,UNKNOWN
2026-02-11 06:35:11,NLV232CO,UNKNOWN
2026-02-11 06:35:11,NL*****,UNKNOWN
2026-02-11 06:35:11,NL*****,UNKNOWN
2026-02-11 06:35:11,NL*****,UNKNOWN
2026-02-11 06:35:11,NL*****,UNKNOWN
2026-02-11 06:35:18,BG-021-CH,SIV
2026-02-11 06:35:20,FV-639-AY,SIV
2026-02-11 06:35:20,YYC224T,UNKNOWN
2026-02-11 06:35:21,NL*****,UNKNOWN
2026-02-11 06:35:29,NL*****,UNKNOWN
2026-02-11 06:35:29,NL*****,UNKNOWN
2026-02-11 06:35:29,NL*****,UNKNOWN
2026-02-11 06:35:33,EN-535-QE,SIV
2026-02-11 06:35:47,EV-075-VM,SIV
2026-02-11 06:35:49,DR-388-NH,SIV
2026-02-11 06:35:50,AY-367-YR,SIV
2026-02-11 06:35:51,PLATEN*,UNKNOWN
2026-02-11 06:35:52,NL*****,UNKNOWN
2026-02-11 06:35:52,NL*****,UNKNOWN
2026-02-11 06:35:53,ET-801-FD,SIV
2026-02-11 06:36:00,DF-631-AP,SIV
2026-02-11 06:36:47,EV-331-GN,SIV
2026-02-11 06:37:01,T9002**,UNKNOWN
2026-02-11 06:37:06,DQ-517-MF,SIV
2026-02-11 06:37:09,FJ-822-ZH,SIV
2026-02-11 06:37:17,EZ-667-JZ,SIV
2026-02-11 06:37:22,GT-559-XK,SIV
2026-02-11 06:37:42,BM38YK*,UNKNOWN
2026-02-11 06:37:46,FT-954-LG,SIV
2026-02-11 06:37:48,CX-585-FP,SIV
2026-02-11 06:37:54,FR-157-TG,SIV
2026-02-11 06:37:56,ES-114-AA,SIV
2026-02-11 06:38:00,CR-799-JE,SIV
2026-02-11 06:38:07,EV-720-MP,SIV
2026-02-11 06:38:12,AS-262-SM,SIV
2026-02-11 06:38:13,FJ-144-HL,SIV
2026-02-11 06:38:45,CT-350-VH,SIV
2026-02-11 06:39:07,NL*****,UNKNOWN
2026-02-11 06:39:07,DL-967-VJ,SIV
2026-02-11 06:39:09,DT-045-BV,SIV
2026-02-11 06:39:23,DY-126-MP,SIV
2026-02-11 06:39:39,DL-181-MN,SIV
2026-02-11 06:39:50,CF-055-XA,SIV
2026-02-11 06:39:51,NL*****,UNKNOWN
2026-02-11 06:40:07,AW-817-MW,SIV
2026-02-11 06:40:09,EF-636-MW,SIV
2026-02-11 06:40:10,NL*****,UNKNOWN
2026-02-11 06:40:14,GJ-272-WJ,SIV
2026-02-11 06:40:33,FV-093-BP,SIV
2026-02-11 06:40:38,EW-862-RJ,SIV
2026-02-11 06:40:38,EW-062-RJ,SIV
2026-02-11 06:40:41,FF-501-GP,SIV
2026-02-11 06:40:42,BY-691-NP,SIV
2026-02-11 06:40:44,FK-739-CT,SIV
2026-02-11 06:40:50,DM-591-BX,SIV
2026-02-11 06:41:14,GJ-905-FH,SIV
2026-02-11 06:41:16,FD-418-BW,SIV
2026-02-11 06:41:20,GH-422-TV,SIV
2026-02-11 06:41:25,ET-258-VH,SIV
2026-02-11 06:41:29,EL-043-HV,SIV
2026-02-11 06:41:32,EH-667-CB,SIV
2026-02-11 06:41:42,CY-658-JV,SIV
2026-02-11 06:42:12,DN-410-ZQ,SIV
2026-02-11 06:42:16,EN-605-TC,SIV
2026-02-11 06:42:19,GT-675-TG,SIV
2026-02-11 06:42:21,GC-411-LT,SIV
2026-02-11 06:42:23,FZ-451-JD,SIV
2026-02-11 06:42:36,GP-622-QH,SIV
2026-02-11 06:43:08,FB-589-AH,SIV
2026-02-11 06:43:14,CJ-661-YD,SIV
2026-02-11 06:43:28,BY-311-DJ,SIV
2026-02-11 06:43:30,BL-442-QC,SIV
2026-02-11 06:43:37,AW-401-RM,SIV
2026-02-11 06:43:38,FF-986-KS,SIV
2026-02-11 06:43:50,CF-985-PE,SIV
2026-02-11 06:44:02,EX-968-HC,SIV
2026-02-11 06:44:16,BR-234-JA,SIV
2026-02-11 06:44:17,NL*****,UNKNOWN
