date_heure_passage,numero_plaque,format
2026-02-18 00:00:08,EN-151-BT,SIV
2026-02-18 00:00:12,GF-503-LC,SIV
2026-02-18 00:00:27,DV-310-XN,SIV
2026-02-18 00:00:33,GQ-848-RT,SIV
2026-02-18 00:00:42,GT-251-XW,SIV
2026-02-18 00:02:05,FQ-686-SB,SIV
2026-02-18 00:02:08,88 BC 91,FNI
2026-02-18 00:02:48,HH-159-AK,SIV
2026-02-18 00:02:56,AZ-343-RY,SIV
2026-02-18 00:03:10,DZ-976-FQ,SIV
2026-02-18 00:03:20,BS-716-TA,SIV
2026-02-18 00:03:29,CE-653-FD,SIV
2026-02-18 00:03:35,DY-447-ST,SIV
2026-02-18 00:03:43,GX-601-AK,SIV
2026-02-18 00:03:48,FK-399-YN,SIV
2026-02-18 00:04:49,EQ-285-BT,SIV
