date_heure_passage,numero_plaque
2026-02-10 05:29:01,EK465YL
2026-02-10 05:29:20,GH043DZH
2026-02-10 05:29:25,9020CXJ
2026-02-10 05:29:25,320CXJ*
2026-02-10 05:29:28,CDY194CD
2026-02-10 05:29:28,DY194CD
2026-02-10 05:29:29,FE553GO
2026-02-10 05:29:31,EF694LX
2026-02-10 05:30:06,CF361VP
2026-02-10 05:30:18,CC051BP
2026-02-10 05:30:22,NL*****
2026-02-10 05:30:23,HB871XJ
2026-02-10 05:30:24,NL*****
2026-02-10 05:30:30,CL568XE
2026-02-10 05:30:38,EB984BQ
2026-02-10 05:31:23,366CE**
2026-02-10 05:31:23,CK365CE
2026-02-10 05:31:26,EZ029FP
2026-02-10 05:31:33,NL*****
2026-02-10 05:31:33,NL*****
2026-02-10 05:31:48,GH488HH
2026-02-10 05:31:58,80319S0
2026-02-10 05:32:02,CT168FY
2026-02-10 05:32:23,3900WSGA
2026-02-10 05:32:26,GN935KS
2026-02-10 05:32:48,NL*****
2026-02-10 05:32:58,GP994RB
2026-02-10 05:33:34,GX55TVM
2026-02-10 05:33:58,GZ57BCJ
2026-02-10 05:34:09,DN783JM
2026-02-10 05:34:13,AB378QG
2026-02-10 05:34:21,AT144YH
2026-02-10 05:34:21,NL*****
2026-02-10 05:34:34,GC236GG
2026-02-10 05:34:36,GF625W01
2026-02-10 05:35:06,HE388VM
2026-02-10 05:35:14,211135*
2026-02-10 05:35:35,DP24FT*
2026-02-10 05:35:35,DP824FT
2026-02-10 05:35:37,EC659YS
2026-02-10 05:35:46,DL661SW
2026-02-10 05:36:02,CW412ZK
2026-02-10 05:36:29,NL*****
2026-02-10 05:36:31,GUJ353PT
2026-02-10 05:36:31,GJ353PY
2026-02-10 05:36:34,EA407YD
2026-02-10 05:36:35,HA288QM
2026-02-10 05:36:37,GW204AX
2026-02-10 05:36:40,DF180CZ
2026-02-10 05:36:42,518GW1*
2026-02-10 05:36:42,FT518GW
2026-02-10 05:37:16,FX299WT
2026-02-10 05:37:16,NL*****
2026-02-10 05:38:44,NL*****
2026-02-10 05:38:45,ES37421
2026-02-10 05:38:47,CW602WB
2026-02-10 05:38:48,GNJ524X
2026-02-10 05:38:53,FP272BZ
2026-02-10 05:38:53,272BZ**
2026-02-10 05:38:58,10377**
2026-02-10 05:38:58,E0189TY
2026-02-10 05:39:46,FK186FD
2026-02-10 05:39:52,GV76280
2026-02-10 05:39:52,OV783BY
2026-02-10 05:39:53,NL*****
2026-02-10 05:40:57,NL*****
2026-02-10 05:41:05,ONJ712JE
2026-02-10 05:41:05,DJ712JE
2026-02-10 05:41:23,EK193KY
2026-02-10 05:41:49,EN143PH
2026-02-10 05:41:53,GZ882EY
2026-02-10 05:41:56,EM511EC
2026-02-10 05:42:25,CJ447AJ
2026-02-10 05:42:27,EL407WA
2026-02-10 05:42:32,GB750ZS
2026-02-10 05:42:32,NL*****
2026-02-10 05:42:50,ONLYNL*
2026-02-10 05:42:50,NL*****
2026-02-10 05:42:55,CMG1RGM
2026-02-10 05:42:55,CN6190N
2026-02-10 05:42:58,CW633TA
2026-02-10 05:43:26,AM546LZ
2026-02-10 05:43:37,OJ712JE
2026-02-10 05:43:50,AT423FR
2026-02-10 05:43:53,ULUGG**
2026-02-10 05:44:16,FL6B1DW
2026-02-10 05:44:16,FC48174
2026-02-10 05:44:21,GB753ZS
2026-02-10 05:44:25,NL76532
2026-02-10 05:44:25,GS681LE
2026-02-10 05:44:26,681LE**
2026-02-10 05:44:59,X246DT*
2026-02-10 05:45:02,GK767DK
2026-02-10 05:45:28,GQ400WW
2026-02-10 05:45:38,EK384YX
2026-02-10 05:45:38,NL*****
2026-02-10 05:46:38,GB055ES
2026-02-10 05:46:46,BO912PD
2026-02-10 05:47:02,BK515MG
2026-02-10 05:47:03,FF285SW
2026-02-10 05:47:19,AN802TL
2026-02-10 05:47:20,H80211*
2026-02-10 05:48:03,FB040JH
2026-02-10 05:48:04,NL*****
2026-02-10 05:48:09,BG493SR
2026-02-10 05:48:12,FL154PZ
2026-02-10 05:48:35,PNVV1L30
2026-02-10 05:48:35,NL*****
2026-02-10 05:49:01,AJ197RV
2026-02-10 05:49:09,BX189LL
2026-02-10 05:49:15,GC461RB
2026-02-10 05:49:37,EE230ND
2026-02-10 05:49:37,NL*****
2026-02-10 05:49:40,CNB10K*
2026-02-10 05:49:56,DF590RR
2026-02-10 05:50:06,GO427NF
