date_heure_passage,numero_plaque,format
2026-02-11 05:29:01,EK-465-YL,SIV
2026-02-11 05:29:20,GH-043-DZ,SIV
2026-02-11 05:29:25,PQ20 CXJ,UK
2026-02-11 05:29:28,DY-194-CD,SIV
2026-02-11 05:29:29,FE-553-GQ,SIV
2026-02-11 05:29:31,EF-694-LK,SIV
2026-02-11 05:30:06,CF-361-VP,SIV
2026-02-11 05:30:18,CC-051-BP,SIV
2026-02-11 05:30:22,NL*****,UNKNOWN
2026-02-11 05:30:23,HB-871-AJ,SIV
2026-02-11 05:30:30,CL-568-XE,SIV
2026-02-11 05:30:38,EB-984-QQ,SIV
2026-02-11 05:31:23,CK-365-CE,SIV
2026-02-11 05:31:26,EZ-029-FP,SIV
2026-02-11 05:31:33,EF-261-NL,SIV
2026-02-11 05:31:33,NL*****,UNKNOWN
2026-02-11 05:31:48,4H488HHH,UNKNOWN
2026-02-11 05:31:58,AB-319-SQ,SIV
2026-02-11 05:32:02,CT-168-FY,SIV
2026-02-11 05:32:26,GN-935-KS,SIV
2026-02-11 05:32:48,EH6E7N*,UNKNOWN
2026-02-11 05:32:58,GP-994-AB,SIV
2026-02-11 05:33:34,GX55 TVM,UK
2026-02-11 05:33:58,GZ-578-CJ,SIV
2026-02-11 05:34:09,DN-783-JM,SIV
2026-02-11 05:34:12,AB-378-DE,SIV
2026-02-11 05:34:21,AT-114-YH,SIV
2026-02-11 05:34:21,NL*****,UNKNOWN
2026-02-11 05:34:34,GC-236-GG,SIV
2026-02-11 05:34:36,F625NL04,UNKNOWN
2026-02-11 05:35:06,HE-308-VM,SIV
2026-02-11 05:35:14,ZL-071-GS,SIV
2026-02-11 05:35:35,DP24FT*,UNKNOWN
2026-02-11 05:35:37,EC-659-YS,SIV
2026-02-11 05:35:46,DL-661-SW,SIV
2026-02-11 05:36:02,CW-412-ZK,SIV
2026-02-11 05:36:29,NL*****,UNKNOWN
2026-02-11 05:36:31,CJ-353-PX,SIV
2026-02-11 05:36:34,EA-407-LD,SIV
2026-02-11 05:36:35,HA-286-QH,SIV
2026-02-11 05:36:37,GW-204-AX,SIV
2026-02-11 05:36:40,DF-180-CZ,SIV
2026-02-11 05:36:42,518GW**,UNKNOWN
2026-02-11 05:37:16,FX-299-WT,SIV
2026-02-11 05:37:16,NL*****,UNKNOWN
2026-02-11 05:38:44,NL*****,UNKNOWN
2026-02-11 05:38:45,ES-374-ZY,SIV
2026-02-11 05:38:47,CW-602-WB,SIV
2026-02-11 05:38:48,NL*****,UNKNOWN
2026-02-11 05:38:53,FP-272-BZ,SIV
2026-02-11 05:38:53,NL*****,UNKNOWN
2026-02-11 05:38:58,EQ-103-TV,SIV
2026-02-11 05:39:46,FK-186-FC,SIV
2026-02-11 05:39:52,GV-762-BV,SIV
2026-02-11 05:39:52,ONY783BY,UNKNOWN
2026-02-11 05:39:53,NL*****,UNKNOWN
2026-02-11 05:40:57,NL2018*,UNKNOWN
2026-02-11 05:41:05,QJ-712-JE,SIV
2026-02-11 05:41:23,EK-193-KY,SIV
2026-02-11 05:41:49,EN-143-PH,SIV
2026-02-11 05:41:53,GZ-882-EY,SIV
2026-02-11 05:41:56,EM-511-EC,SIV
2026-02-11 05:42:25,CJ-447-AJ,SIV
2026-02-11 05:42:32,GB-750-ZS,SIV
2026-02-11 05:42:32,NL*****,UNKNOWN
2026-02-11 05:42:50,CNW700*,UNKNOWN
2026-02-11 05:42:50,ONLYTHEPLATETEXTINUPPERCASELETTERSANDNUMBERSONLYNOSPACESORDASHERAS,UNKNOWN
2026-02-11 05:42:55,CM61 BRM,UK
2026-02-11 05:42:58,CW-633-TA,SIV
2026-02-11 05:43:26,AM548072,UNKNOWN
2026-02-11 05:43:37,QJ-712-JE,SIV
2026-02-11 05:43:50,AT-423-FR,SIV
2026-02-11 05:43:53,NL*****,UNKNOWN
2026-02-11 05:44:16,FL-681-QP,SIV
2026-02-11 05:44:16,FC-481-TP,SIV
2026-02-11 05:44:21,GB-753-ZS,SIV
2026-02-11 05:44:25,NL-766-BB,SIV
2026-02-11 05:44:25,GS60 JLE,UK
2026-02-11 05:44:59,X2460T*,UNKNOWN
2026-02-11 05:45:00,ONL6DT*,UNKNOWN
2026-02-11 05:45:02,GK-767-DK,SIV
2026-02-11 05:45:28,GQ-400-WW,SIV
2026-02-11 05:45:38,EK-384-YX,SIV
2026-02-11 05:45:38,NL4067*,UNKNOWN
2026-02-11 05:46:38,GB-055-ES,SIV
2026-02-11 05:46:46,BC-912-PD,SIV
2026-02-11 05:47:02,PK-515-HG,SIV
2026-02-11 05:47:03,FF-285-SW,SIV
2026-02-11 05:47:09,NL*****,UNKNOWN
2026-02-11 05:47:19,AH-802-TL,SIV
2026-02-11 05:48:03,FB-040-JH,SIV
2026-02-11 05:48:04,NL*****,UNKNOWN
2026-02-11 05:48:09,BG-493-SR,SIV
2026-02-11 05:48:12,FL-154-PZ,SIV
2026-02-11 05:48:35,5W1Y1L450,UNKNOWN
2026-02-11 05:48:35,NL*****,UNKNOWN
2026-02-11 05:49:01,AJ-197-RV,SIV
2026-02-11 05:49:01,NL1979*,UNKNOWN
2026-02-11 05:49:09,BX-189-LL,SIV
2026-02-11 05:49:15,GC-461-AB,SIV
2026-02-11 05:49:37,EE-230-HD,SIV
2026-02-11 05:49:37,NL*****,UNKNOWN
2026-02-11 05:49:40,CNB10X*,UNKNOWN
2026-02-11 05:49:56,DF-590-RR,SIV
2026-02-11 05:50:06,GQ-427-MX,SIV
