date_heure_passage,numero_plaque
2026-02-10 05:29:01,EK465YL
2026-02-10 05:29:28,DY194CD
2026-02-10 05:29:29,FE553GD
2026-02-10 05:30:23,H8871XJ
2026-02-10 05:30:30,CL568XE
2026-02-10 05:30:39,EJ8364*
2026-02-10 05:31:04,BLV236603
2026-02-10 05:31:23,CK365CE
2026-02-10 05:31:29,ONLYTHEPLATETEXTINUPPERCASELETTERSANDNUMBERSONLYNOSPACESORDASHERAS
2026-02-10 05:31:33,EF2611H
2026-02-10 05:31:48,CH486HH
2026-02-10 05:31:58,BB31950
2026-02-10 05:32:23,3900WS64
2026-02-10 05:34:21,A111411
2026-02-10 05:34:36,CF625W0
2026-02-10 05:35:46,DL661SW
2026-02-10 05:36:02,7V7151*
2026-02-10 05:36:31,QJ350PY
2026-02-10 05:36:34,EA407TD
2026-02-10 05:36:35,HA288QN
2026-02-10 05:36:42,FT518GW
2026-02-10 05:36:54,UU6L777
2026-02-10 05:38:45,ES37423
2026-02-10 05:38:56,U7281OM
2026-02-10 05:38:58,EO180TY
2026-02-10 05:39:52,OV783BY
2026-02-10 05:39:54,ZMA110*
2026-02-10 05:40:57,CZ911PT
2026-02-10 05:41:05,OJ712JE
2026-02-10 05:41:23,EK193KY
2026-02-10 05:42:25,CJ447AJJ
2026-02-10 05:42:27,EL407WA
2026-02-10 05:42:55,CH61072
2026-02-10 05:43:37,H712JE*
2026-02-10 05:44:16,FL6010W
2026-02-10 05:48:04,541211*
2026-02-10 05:48:35,05611245
2026-02-10 05:49:01,AJ197RV
2026-02-10 05:49:37,EE230HD
2026-02-10 05:49:40,CN819X*
2026-02-10 05:49:56,DF590RR
2026-02-10 05:50:06,G0427NX
