date_heure_passage,numero_plaque
2026-02-10 05:29:01,EK465YL
2026-02-10 05:29:01,EK465YE
2026-02-10 05:29:02,EK465Y*
2026-02-10 05:29:20,GH043DZR
2026-02-10 05:29:20,GH043DZ
2026-02-10 05:29:25,9020CXJ
2026-02-10 05:29:25,CGJ20**
2026-02-10 05:29:28,DY194CD
2026-02-10 05:29:28,DY194CO
2026-02-10 05:29:29,FE553GO
2026-02-10 05:29:29,5E553GO
2026-02-10 05:29:31,EF694LX
2026-02-10 05:30:06,CF361VP
2026-02-10 05:30:06,65361Y*
2026-02-10 05:30:18,CC051BP
2026-02-10 05:30:18,GC051BP
2026-02-10 05:30:22,ONLYTHEPLATETEXTINUPPERCASELETTERSANDNUMBERSONLYNOSPACESORDASHS
2026-02-10 05:30:23,HB871L3
2026-02-10 05:30:23,HB871XJ
2026-02-10 05:30:24,M113923
2026-02-10 05:30:30,CL568XE
2026-02-10 05:30:30,CL560XE
2026-02-10 05:30:31,M1CL568XE
2026-02-10 05:30:38,EB66480
2026-02-10 05:30:38,EB984BQ
2026-02-10 05:30:39,EB884BQ
2026-02-10 05:31:23,366CE**
2026-02-10 05:31:23,CK365CE
2026-02-10 05:31:26,EZ029FP
2026-02-10 05:31:33,ET211N*
2026-02-10 05:31:33,FILTER*
2026-02-10 05:31:48,4H488HH
2026-02-10 05:31:58,80319S0
2026-02-10 05:31:58,BB31950
2026-02-10 05:32:02,CT168FY
2026-02-10 05:32:23,3900WSG4
2026-02-10 05:32:23,3900MS64
2026-02-10 05:32:26,GN935KS
2026-02-10 05:32:26,CN935KS
2026-02-10 05:32:48,EHH77**
2026-02-10 05:32:58,GP994RB
2026-02-10 05:32:59,CB994RB
2026-02-10 05:33:34,GX55TVM
2026-02-10 05:33:58,GZ57BCJ
2026-02-10 05:33:58,GZ578C*
2026-02-10 05:34:09,DN783JM
2026-02-10 05:34:09,DN793JH
2026-02-10 05:34:12,AB3780G
2026-02-10 05:34:13,AB378QC
2026-02-10 05:34:21,AT144YH
2026-02-10 05:34:21,AT114YH
2026-02-10 05:34:21,AGUSGS*
2026-02-10 05:34:34,GC236GG
2026-02-10 05:34:36,GF625W01
2026-02-10 05:34:36,CF625W01
2026-02-10 05:35:06,HE388VM
2026-02-10 05:35:14,7211135
2026-02-10 05:35:14,7210165
2026-02-10 05:35:35,DP24FT*
2026-02-10 05:35:37,EC659YS
2026-02-10 05:35:46,DL661SW
2026-02-10 05:36:02,CW412ZK
2026-02-10 05:36:29,ONLYTHEPLATETEXTINUPPERCASELETTERSANDNUMBERSONLYNOSPACESORDASHES
2026-02-10 05:36:31,GJ353PT
2026-02-10 05:36:31,GJ353PY
2026-02-10 05:36:31,GJ35JPY
2026-02-10 05:36:34,EA407YD
2026-02-10 05:36:34,EA40710
2026-02-10 05:36:35,HA286QN
2026-02-10 05:36:35,HA286QM
2026-02-10 05:36:35,HA288JN
2026-02-10 05:36:37,GW204AX
2026-02-10 05:36:40,DF180CZ
2026-02-10 05:36:42,518GW**
2026-02-10 05:36:42,FT518GW
2026-02-10 05:37:16,FX299WT
2026-02-10 05:37:16,299WT**
2026-02-10 05:38:44,460217*
2026-02-10 05:38:45,ES37421
2026-02-10 05:38:47,CW602WB
2026-02-10 05:38:48,GNJ5242X
2026-02-10 05:38:53,FP272BZ
2026-02-10 05:38:53,272BZ**
2026-02-10 05:38:58,103TF**
2026-02-10 05:38:58,EO189TY
2026-02-10 05:38:58,E0180TY
2026-02-10 05:39:46,FK186FC
2026-02-10 05:39:52,GV76200
2026-02-10 05:39:52,OV783BY
2026-02-10 05:39:52,BV76JBY
2026-02-10 05:39:53,WEIYUANG
2026-02-10 05:40:57,C12345*
2026-02-10 05:41:05,OJ712JE
2026-02-10 05:41:05,DJ712JE
2026-02-10 05:41:23,EK193KY
2026-02-10 05:41:49,EN143PH
2026-02-10 05:41:49,FN143PH
2026-02-10 05:41:53,GZ882EY
2026-02-10 05:41:56,EM511EC
2026-02-10 05:42:25,CJ447AJ
2026-02-10 05:42:27,EL407WA
2026-02-10 05:42:32,GB750ZS
2026-02-10 05:42:32,GB753ZS
2026-02-10 05:42:32,10675329
2026-02-10 05:42:50,OLV291K
