date_heure_passage,numero_plaque
2026-02-10 05:29:01,655YL**
2026-02-10 05:29:01,EK465YL
2026-02-10 05:29:01,EK465YE
2026-02-10 05:29:02,EK465Y*
2026-02-10 05:29:20,GH043DZ
2026-02-10 05:29:25,9020CXJ
2026-02-10 05:29:25,20CXJ**
2026-02-10 05:29:28,DY194CD
2026-02-10 05:29:28,DY194CO
2026-02-10 05:29:29,FE553GO
2026-02-10 05:29:29,5E553GD
2026-02-10 05:29:31,EF694LX
2026-02-10 05:30:06,CF361VP
2026-02-10 05:30:06,65361Y*
2026-02-10 05:30:18,CC051BP
2026-02-10 05:30:18,GC051BP
2026-02-10 05:30:22,ONCEUPONATIME
2026-02-10 05:30:23,HB871L3
2026-02-10 05:30:23,H8871XJ
2026-02-10 05:30:30,CL56R**
2026-02-10 05:30:30,CL568XE
2026-02-10 05:30:30,CL560XE
2026-02-10 05:30:31,M1CL568XE
2026-02-10 05:30:38,EB66490
2026-02-10 05:30:38,EB984BQ
2026-02-10 05:30:39,EB884BQ
2026-02-10 05:31:04,E6L6H**
2026-02-10 05:31:04,HL236603
2026-02-10 05:31:04,ONLYTHEPLATETEXTINUPRASIBLELETTERSANDNUMBERSONLYNOSPACESORDASSES
2026-02-10 05:31:23,366CE**
2026-02-10 05:31:23,CK365CE
2026-02-10 05:31:26,EZ029FP
2026-02-10 05:31:26,T29021*
2026-02-10 05:31:29,4401P**
2026-02-10 05:31:32,EF2611*
2026-02-10 05:31:33,RT261N*
2026-02-10 05:31:33,ZVL1H1*
2026-02-10 05:31:48,4H488HHH
2026-02-10 05:31:58,80319S0
2026-02-10 05:31:58,BB31950
2026-02-10 05:32:02,CT168FY
2026-02-10 05:32:08,**Y8046X3**
2026-02-10 05:32:23,3900WSG4
2026-02-10 05:32:23,3900MS64
2026-02-10 05:32:26,GN935KS
2026-02-10 05:32:26,CN935KS
2026-02-10 05:32:48,GW207**
2026-02-10 05:32:48,EH6171*
2026-02-10 05:32:49,388213*
2026-02-10 05:32:58,GP994RB
2026-02-10 05:32:59,GB994AB
2026-02-10 05:33:34,GX55TVM
2026-02-10 05:33:34,CY551YN
2026-02-10 05:33:58,GZ57BCJ
2026-02-10 05:33:58,GZ578C*
2026-02-10 05:34:09,DN783JM
2026-02-10 05:34:09,DN793JH
2026-02-10 05:34:12,AB3780G
2026-02-10 05:34:13,AB378QC
2026-02-10 05:34:21,AT144YH
2026-02-10 05:34:21,AT114YH
2026-02-10 05:34:21,A460562
2026-02-10 05:34:34,GC236GG
2026-02-10 05:34:36,ONLYTHEPLATETEXTINUPPERCASESTOPUSINGSPACESORDASHES
2026-02-10 05:34:36,GF625W01
2026-02-10 05:34:36,GE625W01
2026-02-10 05:35:06,HE388VM
2026-02-10 05:35:14,Z111133
2026-02-10 05:35:14,12410165
2026-02-10 05:35:35,DP24FT*
2026-02-10 05:35:35,DP824FT
2026-02-10 05:35:37,EC659YS
2026-02-10 05:35:46,DL661SW
2026-02-10 05:36:02,CW41BZK
2026-02-10 05:36:02,CW412ZK
2026-02-10 05:36:29,ONLYTHEPLATETEXTINUPPERCASELETTERSANDNUMBERSONLYNOSPACESORDOSSELS
2026-02-10 05:36:31,GJ353PT
2026-02-10 05:36:31,QJ353PY
2026-02-10 05:36:31,GJ353PY
2026-02-10 05:36:34,EA407VT
2026-02-10 05:36:34,EA407VD
2026-02-10 05:36:34,EA40710
2026-02-10 05:36:35,HA2880N
2026-02-10 05:36:35,HA286QM
2026-02-10 05:36:35,HA288UW
2026-02-10 05:36:37,GW204AX
2026-02-10 05:36:40,DF180CZ
2026-02-10 05:36:42,518GW**
2026-02-10 05:36:42,FT518GW
2026-02-10 05:36:54,AN618716
2026-02-10 05:37:16,FX299WT
2026-02-10 05:37:16,299WT**
2026-02-10 05:38:44,NODAUT*
2026-02-10 05:38:45,ES37421
2026-02-10 05:38:45,ES3742Y
2026-02-10 05:38:45,ONLYTHEPLATETEXTINUPPERCASELETTERSANDNUMBERSONLYNOSPACESORDASSES
2026-02-10 05:38:47,CW602WB
2026-02-10 05:38:48,ONLYTHEPLATETEXT
2026-02-10 05:38:48,GN3524X
2026-02-10 05:38:53,FP272BZ
2026-02-10 05:38:53,272BZ**
2026-02-10 05:38:56,UNITEDSTATESOFAMERICA
2026-02-10 05:38:56,550640*
2026-02-10 05:38:58,18377**
2026-02-10 05:38:58,E0189TY
2026-02-10 05:38:58,E0180TY
2026-02-10 05:39:46,FK186FD
2026-02-10 05:39:52,GV76280
2026-02-10 05:39:52,OV783BY
2026-02-10 05:39:52,GV76JBY
2026-02-10 05:39:53,*******
2026-02-10 05:39:53,472128*
2026-02-10 05:40:57,CZ911HP
2026-02-10 05:40:57,CZ911PY
2026-02-10 05:40:57,KL3010*
2026-02-10 05:41:05,OJ712JE
2026-02-10 05:41:05,DJ712JE
2026-02-10 05:41:23,EK193KY
2026-02-10 05:41:49,EN143PH
2026-02-10 05:41:49,FN143PH
2026-02-10 05:41:53,GZ882EY
2026-02-10 05:41:56,EM511EC
2026-02-10 05:42:25,CJ447AJ
2026-02-10 05:42:25,NINTENDO
2026-02-10 05:42:27,EL407WA
2026-02-10 05:42:32,GB750ZS
2026-02-10 05:42:32,GB753ZS
2026-02-10 05:42:32,31372619
2026-02-10 05:42:50,ONLY2914
2026-02-10 05:42:50,ONLYTHELICENSEPLATETEXTINUPPERCASELETTERSANDNUMBERSONLYNOSPACESORDASSES
2026-02-10 05:42:55,CMG1BRM
2026-02-10 05:42:55,CW6190H
2026-02-10 05:42:55,CH631SM
2026-02-10 05:42:58,CW633TA
2026-02-10 05:43:26,AM548LZ
2026-02-10 05:43:26,AM548LC
2026-02-10 05:43:50,AT423FR
2026-02-10 05:43:53,GF057**
2026-02-10 05:43:53,UFUBDFC
2026-02-10 05:44:16,FL6810F
2026-02-10 05:44:16,FL6810W
2026-02-10 05:44:16,FCQ810V
2026-02-10 05:44:25,NJ6547*
2026-02-10 05:44:25,ML76632
2026-02-10 05:44:25,GS681LE
2026-02-10 05:44:26,681LE**
2026-02-10 05:44:59,X2460T*
2026-02-10 05:45:02,GK767DK
2026-02-10 05:45:28,ONWMO**
2026-02-10 05:45:28,GQ400WW
2026-02-10 05:45:28,GO400W*
2026-02-10 05:45:38,EX38415
2026-02-10 05:45:38,EK384YX
2026-02-10 05:45:38,K46474*
2026-02-10 05:46:38,GB055ES
2026-02-10 05:46:39,GB055E*
2026-02-10 05:46:46,912PD**
2026-02-10 05:46:46,BO912PD
2026-02-10 05:46:46,BG912PD
2026-02-10 05:47:02,BK515MG
2026-02-10 05:47:02,RK515MG
2026-02-10 05:47:03,FF285SW
2026-02-10 05:47:03,FF2031*
2026-02-10 05:47:09,UN240**
2026-02-10 05:47:19,ANB02TL
2026-02-10 05:47:20,HM802TL
2026-02-10 05:47:20,H80211*
2026-02-10 05:48:03,FB040JH
2026-02-10 05:48:04,TOROIL*
2026-02-10 05:48:09,BG493SR
2026-02-10 05:48:12,FL154PZ
2026-02-10 05:48:35,FN111266
2026-02-10 05:49:01,UNIQUE*
2026-02-10 05:49:01,AJ197RY
2026-02-10 05:49:01,AJ197RV
2026-02-10 05:49:01,10709**
2026-02-10 05:49:09,8X189LL
2026-02-10 05:49:11,BY185DB
2026-02-10 05:49:15,GC461RB
2026-02-10 05:49:15,ONLYTHEPLATETEXTINUPPERCASELETTERSANDNUMERICSONLYNOSPACESORDASHSONLYTHEPLATETEXTINUPPERCASELETTERSANDNUM
2026-02-10 05:49:37,EE230MD
2026-02-10 05:49:37,EE230HD
2026-02-10 05:49:37,EE230ND
2026-02-10 05:49:37,LJK149*
2026-02-10 05:49:40,CNB10Y*
2026-02-10 05:49:56,DF590RR
2026-02-10 05:50:06,GO427NF
2026-02-10 05:50:06,G0427NX
2026-02-10 05:50:06,GO427MX
2026-02-10 05:50:07,GQ427XX
